# device,samsung SM-M536B · Mediatek MT6877V/ZA
# provider,ORT CPU (4 threads)
# frames,3234
# elapsed_s,1811
# minute1_median_ms,540.5
# last_minute_median_ms,599.0
# degradation_pct,10.8
# thermal_start,NONE
# thermal_worst,NONE
# started_hot,false
# charging,true
# mah_per_1000,n/a (charging)
minute,frames,fps,median_ms,p90_ms,thermal,battery_pct,battery_temp_c,charge_uah
1,100,1.67,540.5,756.5,NONE,100,19.8,2310000
2,116,1.93,511.7,550.3,NONE,100,20.6,2310000
3,118,1.97,507.2,536.1,NONE,100,21.7,2310000
4,118,1.97,505.2,537.7,NONE,100,22.1,2310000
5,118,1.97,509.0,538.3,NONE,100,22.9,2310000
6,117,1.95,511.5,538.6,NONE,100,24.1,2310000
7,117,1.95,511.8,544.0,NONE,100,25.2,2310000
8,117,1.95,511.8,538.4,NONE,100,25.2,2310000
9,117,1.95,508.0,539.6,NONE,100,26.3,2310000
10,109,1.82,547.1,592.2,NONE,100,27.4,2310000
11,101,1.68,590.9,623.3,NONE,100,27.4,2310000
12,100,1.67,597.9,631.8,NONE,100,28.6,2310000
13,100,1.67,597.9,627.4,NONE,100,28.6,2310000
14,100,1.67,595.7,626.2,NONE,100,28.6,2310000
15,100,1.67,600.5,629.5,NONE,100,28.6,2310000
16,100,1.67,599.4,630.1,NONE,100,29.7,2310000
17,117,1.95,512.0,542.1,NONE,100,29.7,2310000
18,117,1.95,509.4,542.4,NONE,100,29.7,2310000
19,109,1.82,550.5,616.3,NONE,100,29.7,2310000
20,116,1.93,511.1,547.0,NONE,100,30.8,2310000
21,117,1.95,509.1,544.4,NONE,100,30.8,2310000
22,110,1.83,543.5,607.4,NONE,99,31.3,2286900
23,100,1.67,598.1,630.8,NONE,99,31.3,2286900
24,100,1.67,595.7,629.0,NONE,99,31.3,2286900
25,100,1.67,598.2,635.3,NONE,99,31.3,2286900
26,99,1.65,600.4,627.6,NONE,99,31.3,2286900
27,100,1.67,598.9,630.0,NONE,99,31.3,2286900
28,100,1.67,597.7,628.9,NONE,99,31.3,2286900
29,100,1.67,596.5,636.1,NONE,99,31.3,2286900
30,100,1.67,599.0,627.4,NONE,99,32.4,2286900
