# device,samsung SM-S721B · Samsung s5e9945
# provider,ORT CPU (4 threads)
# frames,6975
# elapsed_s,1804
# minute1_median_ms,212.8
# last_minute_median_ms,276.4
# degradation_pct,29.9
# thermal_start,NONE
# thermal_worst,MODERATE
# started_hot,false
# charging,true
# mah_per_1000,n/a (charging)
minute,frames,fps,median_ms,p90_ms,thermal,battery_pct,battery_temp_c,charge_uah
1,277,4.62,212.8,223.0,NONE,77,31.0,1852500
2,270,4.50,220.9,237.5,NONE,77,33.4,1835875
3,263,4.38,227.7,242.2,LIGHT,76,35.4,1821625
4,211,3.52,278.3,286.7,LIGHT,76,35.4,1812125
5,210,3.50,279.2,303.2,LIGHT,75,36.4,1802625
6,210,3.50,278.1,307.3,MODERATE,75,36.4,1795500
7,258,4.30,225.6,275.1,MODERATE,75,36.4,1790750
8,256,4.27,234.7,245.5,MODERATE,75,37.6,1783625
9,254,4.23,230.2,255.2,MODERATE,74,37.8,1776500
10,223,3.72,276.1,280.4,MODERATE,74,37.8,1771750
11,237,3.95,255.0,264.8,MODERATE,74,37.8,1767000
12,242,4.03,246.7,264.5,MODERATE,74,37.8,1762250
13,228,3.80,264.1,277.9,MODERATE,73,38.6,1757500
14,221,3.68,276.5,279.3,MODERATE,73,38.6,1750375
15,229,3.82,252.1,276.7,MODERATE,73,38.6,1748000
16,226,3.77,274.5,277.3,MODERATE,73,38.6,1743250
17,223,3.72,276.1,281.2,MODERATE,73,38.6,1738500
18,223,3.72,275.5,279.0,MODERATE,73,38.6,1733750
19,227,3.78,255.6,278.1,MODERATE,72,38.7,1729000
20,224,3.73,275.0,278.5,MODERATE,72,38.7,1724250
21,224,3.73,275.3,278.5,MODERATE,72,38.7,1721875
22,233,3.88,250.2,276.7,MODERATE,72,38.7,1717125
23,228,3.80,254.6,277.9,MODERATE,72,38.7,1712375
24,225,3.75,275.2,278.8,MODERATE,71,38.8,1707625
25,227,3.78,255.6,277.9,MODERATE,71,38.8,1702875
26,225,3.75,275.8,278.7,MODERATE,71,38.8,1698125
27,223,3.72,276.4,279.2,MODERATE,71,38.8,1695750
28,229,3.82,251.2,278.7,MODERATE,71,38.8,1691000
29,227,3.78,254.2,278.6,MODERATE,70,38.7,1686250
30,221,3.68,276.4,279.6,MODERATE,70,38.7,1681500
