# device,samsung SM-F976B · QTI SM8850
# provider,ORT CPU (4 threads)
# frames,8087
# elapsed_s,1803
# minute1_median_ms,165.8
# last_minute_median_ms,287.7
# degradation_pct,73.6
# thermal_start,NONE
# thermal_worst,CRITICAL
# started_hot,false
# charging,true
# mah_per_1000,n/a (charging)
minute,frames,fps,median_ms,p90_ms,thermal,battery_pct,battery_temp_c,charge_uah
1,379,6.32,165.8,170.8,MODERATE,85,31.6,4275000
2,316,5.27,188.0,193.9,MODERATE,85,32.8,4275000
3,317,5.28,187.6,191.8,MODERATE,85,34.1,4275000
4,302,5.03,190.3,216.9,SEVERE,85,34.1,4275000
5,286,4.77,204.6,218.1,SEVERE,85,35.4,4275000
6,277,4.62,216.4,219.3,SEVERE,85,35.4,4275000
7,273,4.55,216.7,221.7,SEVERE,85,36.6,4275000
8,275,4.58,216.4,220.0,SEVERE,85,36.6,4275000
9,274,4.57,216.2,221.4,SEVERE,85,36.6,4275000
10,273,4.55,216.9,220.5,SEVERE,85,36.6,4275000
11,274,4.57,216.4,220.8,SEVERE,85,37.8,4275000
12,274,4.57,216.3,220.3,SEVERE,85,37.8,4275000
13,274,4.57,216.7,220.4,SEVERE,85,37.8,4275000
14,275,4.58,216.6,220.3,CRITICAL,85,37.8,4275000
15,274,4.57,215.8,222.2,CRITICAL,85,39.0,4275000
16,273,4.55,216.9,221.6,CRITICAL,85,39.0,4275000
17,275,4.58,216.4,219.8,CRITICAL,85,39.0,4275000
18,274,4.57,216.6,219.8,CRITICAL,85,39.0,4275000
19,221,3.68,287.4,291.3,CRITICAL,85,39.0,4275000
20,205,3.42,287.9,296.2,CRITICAL,85,39.0,4275000
21,205,3.42,288.7,295.9,CRITICAL,85,39.0,4275000
22,260,4.33,217.2,288.2,SEVERE,85,39.0,4275000
23,273,4.55,216.9,221.8,CRITICAL,85,39.0,4275000
24,274,4.57,216.8,220.5,CRITICAL,85,39.0,4275000
25,273,4.55,216.8,221.1,CRITICAL,85,39.0,4275000
26,274,4.57,216.6,220.8,CRITICAL,85,39.0,4275000
27,273,4.55,216.7,221.6,CRITICAL,85,39.0,4275000
28,250,4.17,217.5,289.8,CRITICAL,85,39.0,4275000
29,205,3.42,288.6,300.8,CRITICAL,85,39.0,4275000
30,206,3.43,287.7,295.1,CRITICAL,85,39.0,4275000
