# device,Google Pixel 8 Pro · Google Tensor G3
# provider,ORT CPU (4 threads)
# frames,6066
# elapsed_s,1806
# minute1_median_ms,203.3
# last_minute_median_ms,422.6
# degradation_pct,107.9
# thermal_start,NONE
# thermal_worst,LIGHT
# started_hot,false
# charging,true
# mah_per_1000,n/a (charging)
minute,frames,fps,median_ms,p90_ms,thermal,battery_pct,battery_temp_c,charge_uah
1,289,4.82,203.3,209.6,NONE,92,19.0,3986000
2,284,4.73,208.8,212.2,NONE,92,19.2,3978000
3,281,4.68,211.1,214.4,NONE,91,21.1,3972000
4,279,4.65,213.4,217.1,NONE,91,23.5,3966000
5,275,4.58,215.8,221.5,NONE,91,25.9,3960000
6,228,3.80,253.7,289.9,NONE,91,27.6,3968000
7,207,3.45,286.0,295.4,NONE,91,28.6,3976000
8,206,3.43,286.3,295.6,NONE,92,29.6,3984000
9,207,3.45,286.1,294.3,NONE,92,29.6,3992000
10,207,3.45,287.0,293.4,NONE,92,31.0,4000000
11,204,3.40,286.4,296.9,NONE,92,31.0,4010000
12,205,3.42,286.8,296.8,NONE,92,32.1,4018000
13,206,3.43,286.3,294.7,NONE,92,32.1,4026000
14,205,3.42,286.2,296.3,NONE,92,32.1,4034000
15,205,3.42,286.5,298.6,LIGHT,93,33.2,4042000
16,183,3.05,290.4,427.4,LIGHT,93,33.2,4052000
17,197,3.28,287.8,349.5,LIGHT,93,33.5,4060000
18,192,3.20,288.8,420.0,LIGHT,93,33.5,4070000
19,175,2.92,301.0,430.0,LIGHT,93,33.5,4080000
20,183,3.05,293.2,425.2,LIGHT,93,33.9,4090000
21,185,3.08,293.9,423.0,LIGHT,93,33.9,4100000
22,177,2.95,291.5,441.5,LIGHT,94,34.1,4110000
23,168,2.80,331.5,433.1,LIGHT,94,34.1,4120000
24,163,2.72,352.5,439.4,LIGHT,94,34.1,4132000
25,187,3.12,290.8,421.3,LIGHT,94,34.1,4140000
26,160,2.67,406.7,495.8,LIGHT,94,34.1,4150000
27,145,2.42,425.9,505.2,LIGHT,95,34.5,4162000
28,156,2.60,420.3,493.4,LIGHT,95,34.5,4172000
29,154,2.57,417.3,492.4,LIGHT,95,34.5,4184000
30,150,2.50,422.6,506.7,LIGHT,95,34.5,4194000
