# device,Google Pixel 8 Pro · Google Tensor G3
# provider,ORT CPU (4 threads)
# frames,17890
# elapsed_s,1801
# minute1_median_ms,55.5
# last_minute_median_ms,124.2
# degradation_pct,123.8
# thermal_start,NONE
# thermal_worst,LIGHT
# started_hot,false
# charging,true
# mah_per_1000,n/a (charging)
minute,frames,fps,median_ms,p90_ms,thermal,battery_pct,battery_temp_c,charge_uah
1,1036,17.27,55.5,57.5,NONE,81,18.8,3720000
2,1017,16.95,57.9,59.4,NONE,81,21.0,3718000
3,996,16.60,59.6,60.6,NONE,80,25.5,3714000
4,895,14.92,62.6,74.6,NONE,80,27.9,3714000
5,668,11.13,88.4,90.7,NONE,81,31.0,3730000
6,679,11.32,87.8,90.2,NONE,81,32.0,3746000
7,667,11.12,88.4,90.7,NONE,81,33.4,3760000
8,668,11.13,88.4,90.5,NONE,82,34.9,3776000
9,668,11.13,88.3,90.5,LIGHT,82,34.9,3794000
10,604,10.07,89.9,124.2,LIGHT,82,36.3,3810000
11,471,7.85,125.3,128.9,LIGHT,83,37.4,3830000
12,601,10.02,89.5,125.4,LIGHT,83,37.4,3850000
13,478,7.97,124.9,129.1,LIGHT,84,38.2,3870000
14,469,7.82,125.1,129.1,LIGHT,84,38.2,3892000
15,474,7.90,124.4,128.6,LIGHT,84,38.2,3914000
16,472,7.87,125.0,128.9,LIGHT,85,38.8,3932000
17,540,9.00,120.5,126.1,LIGHT,85,38.8,3944000
18,544,9.07,110.7,127.6,LIGHT,85,38.8,3952000
19,631,10.52,89.0,110.5,LIGHT,85,38.8,3960000
20,471,7.85,124.9,129.5,LIGHT,85,38.8,3968000
21,481,8.02,122.2,128.3,LIGHT,86,39.0,3976000
22,477,7.95,124.5,129.1,LIGHT,86,39.0,3982000
23,468,7.80,124.9,129.1,LIGHT,86,39.0,3990000
24,477,7.95,123.3,127.2,LIGHT,86,39.0,3998000
25,582,9.70,96.3,124.1,LIGHT,86,39.0,4006000
26,471,7.85,124.9,129.5,LIGHT,86,39.0,4012000
27,472,7.87,124.7,128.6,LIGHT,86,39.0,4020000
28,469,7.82,125.1,129.2,LIGHT,87,39.5,4028000
29,470,7.83,125.2,129.3,LIGHT,87,39.5,4036000
30,473,7.88,124.2,128.7,LIGHT,87,39.5,4042000
